City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Glasgow,GB,2022-05-16 18:06:40,55.8652,-4.2576,55.2,90,100,21.99
68,Lake Havasu City,US,2022-05-16 18:06:41,34.4839,-114.3224,99.0,10,0,7.0
69,Chokurdakh,RU,2022-05-16 18:06:41,70.6333,147.9167,24.6,96,100,7.92
70,Yellowknife,CA,2022-05-16 18:02:45,62.456,-114.3525,48.56,55,73,5.99
71,Tuktoyaktuk,CA,2022-05-16 18:06:42,69.4541,-133.0374,32.0,93,100,10.36
72,Kodiak,US,2022-05-16 18:06:42,57.79,-152.4072,53.11,37,0,11.5
73,Yaan,NG,2022-05-16 18:06:43,7.3833,8.5667,89.2,45,66,6.49
74,Maple Creek,CA,2022-05-16 18:06:07,49.9168,-109.4848,70.56,39,23,12.08
75,Paamiut,GL,2022-05-16 18:06:44,61.994,-49.6678,34.03,81,12,18.12
76,Totness,SR,2022-05-16 18:06:45,5.8833,-56.3167,82.72,79,100,11.32
77,Ixtapa,MX,2022-05-16 18:06:45,20.7,-105.2,81.63,61,75,9.22
78,Cabedelo,BR,2022-05-16 18:06:46,-6.9811,-34.8339,83.07,80,35,13.35
79,Gat,IL,2022-05-16 18:03:01,31.61,34.7642,70.39,100,99,3.33
80,Skibbereen,IE,2022-05-16 18:06:47,51.55,-9.2667,59.11,88,66,16.08
81,Castro,BR,2022-05-16 18:03:29,-24.7911,-50.0119,60.85,61,75,7.05
82,Maizuru,JP,2022-05-16 18:06:48,35.45,135.3333,55.99,70,100,2.73
83,Norman Wells,CA,2022-05-16 18:06:49,65.282,-126.8329,49.06,63,74,1.66
84,Cherskiy,RU,2022-05-16 18:06:49,68.75,161.3,36.34,89,100,9.69
85,Lorengau,PG,2022-05-16 18:06:50,-2.0226,147.2712,80.24,73,74,5.28
86,East London,ZA,2022-05-16 18:06:51,-33.0153,27.9116,68.31,71,0,10.45
87,Naze,JP,2022-05-16 18:06:51,28.3667,129.4833,60.75,90,100,12.5
