City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Prince Rupert,CA,54.3161,-130.3201,46.09,82,75,24.16,broken clouds
80,Port Hardy,CA,50.6996,-127.4199,44.78,81,75,6.91,broken clouds
81,Ajdabiya,LY,30.7554,20.2263,71.38,27,2,2.08,clear sky
82,Jutai,BR,-5.1833,-68.9,72.1,100,100,2.66,overcast clouds
83,Iqaluit,CA,63.7506,-68.5145,24.53,79,75,9.22,broken clouds
84,Luwuk,ID,-0.9516,122.7875,85.55,74,81,2.95,broken clouds
85,Vardo,NO,70.3705,31.1107,35.58,75,100,17.27,overcast clouds
86,Seoul,KR,37.5683,126.9778,78.19,37,0,10.36,clear sky
87,Puerto Ayora,EC,-0.7393,-90.3518,72.55,97,36,4.32,scattered clouds
88,Plouzane,FR,48.3833,-4.6167,55.72,91,0,6.91,clear sky
89,Kununurra,AU,-15.7667,128.7333,94.98,24,4,11.5,clear sky
90,Torbay,CA,47.6666,-52.7314,37.58,88,40,9.22,scattered clouds
91,Udachnyy,RU,66.4167,112.4,34.5,78,95,8.84,overcast clouds
92,Khatanga,RU,71.9667,102.5,33.87,97,96,15.17,overcast clouds
93,Catuday,PH,16.2923,119.8062,82.13,69,99,3.09,overcast clouds
94,Butaritari,KI,3.0707,172.7902,82.89,70,60,10.67,broken clouds
95,Arraial Do Cabo,BR,-22.9661,-42.0278,70.5,85,100,6.15,overcast clouds
96,Ipixuna,BR,-1.7625,-48.8043,74.03,98,99,2.53,overcast clouds
97,San Patricio,US,28.017,-97.5169,78.85,93,41,10.94,scattered clouds
98,Nishihara,JP,26.1842,127.7558,68.05,97,100,14.97,light intensity shower rain
99,High Level,CA,58.5169,-117.136,55.51,50,100,13.8,overcast clouds
100,Shirokiy,RU,49.758,129.523,57.36,37,92,9.93,overcast clouds
101,Isangel,VU,-19.55,169.2667,77.88,75,15,13.24,few clouds
102,Kaitangata,NZ,-46.2817,169.8464,51.75,77,99,3.98,overcast clouds
103,Bantry,IE,51.6833,-9.45,55.78,88,51,15.3,broken clouds
104,Hilo,US,19.7297,-155.09,77.29,93,100,6.91,light rain
105,Saskylakh,RU,71.9167,114.0833,22.66,88,35,7.94,scattered clouds
106,Altay,CN,47.8667,88.1167,65.93,47,7,3.98,clear sky
107,Punta Arenas,CL,-53.15,-70.9167,42.91,87,100,13.8,overcast clouds
108,Avarua,CK,-21.2078,-159.775,77.05,83,20,3.44,few clouds
109,Samarai,PG,-10.6167,150.6667,82.92,66,8,4.09,clear sky
110,Broken Hill,AU,-31.95,141.4333,62.37,44,0,4.59,clear sky
111,Lagoa,PT,39.05,-27.9833,57.96,58,89,27.94,overcast clouds
112,Praia Da Vitoria,PT,38.7333,-27.0667,57.76,82,20,18.54,few clouds
113,Morant Bay,JM,17.8815,-76.4093,80.22,86,100,7.9,overcast clouds
114,Ancud,CL,-41.8697,-73.8203,45.55,79,99,8.75,overcast clouds
115,Dargaville,NZ,-35.9333,173.8833,67.87,72,90,12.66,overcast clouds
116,Bulgan,MN,48.8125,103.5347,66.72,26,100,4.12,overcast clouds
117,Conceicao Do Araguaia,BR,-8.2578,-49.2647,74.28,93,83,3.02,broken clouds
118,Novyy Urgal,RU,51.0736,132.5642,47.25,65,100,7.25,overcast clouds
119,Mapiripan,CO,2.8892,-72.1256,72.72,98,100,2.73,very heavy rain
120,Narsaq,GL,60.9167,-46.05,46.62,69,99,1.1,overcast clouds
121,Duluth,US,46.7833,-92.1066,48.25,74,75,9.22,broken clouds
122,Ordu,TR,40.9086,37.6845,48.7,45,22,0.27,few clouds
123,Fortuna,US,40.5982,-124.1573,52.66,85,0,8.05,clear sky
124,Olafsvik,IS,64.8945,-23.7142,47.48,77,84,5.01,broken clouds
125,Sapucai,PY,-25.6667,-56.9167,42.87,87,0,3.94,clear sky
126,Umm Lajj,SA,25.0213,37.2685,83.28,60,5,10.47,clear sky
127,Tukrah,LY,32.5341,20.5791,71.35,35,6,3.58,clear sky
128,Guerrero Negro,MX,27.9769,-114.0611,59.95,88,16,17.36,few clouds
129,Hithadhoo,MV,-0.6,73.0833,84.36,73,100,16.87,overcast clouds
130,Chuy,UY,-33.6971,-53.4616,50.94,90,81,15.32,broken clouds
131,Villacarrillo,ES,38.1156,-3.0848,57.72,55,1,2.75,clear sky
132,Victoria,HK,22.2855,114.1577,81.97,68,46,5.01,scattered clouds
133,Carauari,BR,-4.8828,-66.8958,72.18,99,100,2.35,overcast clouds
134,Peniche,PT,39.3558,-9.3811,62.29,92,21,11.01,few clouds
135,Pitimbu,BR,-7.4706,-34.8086,77.59,86,84,6.8,broken clouds
136,San Quintin,MX,30.4833,-115.95,59.5,91,10,11.27,clear sky
137,Brewster,US,41.3973,-73.6171,61.12,87,0,8.05,clear sky
138,Amparafaravola,MG,-17.5833,48.2167,61.39,89,72,6.11,broken clouds
139,Chesma,RU,53.8111,60.6533,57.52,56,9,13.02,clear sky
140,Homer,US,59.6425,-151.5483,53.49,51,100,5.75,overcast clouds
141,Tuatapere,NZ,-46.1333,167.6833,49.91,88,85,5.95,overcast clouds
142,Melnikovo,RU,56.5558,84.085,76.24,35,73,13.06,broken clouds
143,Hami,CN,42.8,93.45,82.71,14,96,12.3,overcast clouds
144,Kitimat,CA,54.0524,-128.6534,40.91,27,96,4.7,overcast clouds
145,Luoyang,CN,34.6836,112.4536,91.56,9,7,10.42,clear sky
146,Pacific Grove,US,36.6177,-121.9166,57.22,84,75,8.99,broken clouds
147,Shimoda,JP,34.6667,138.95,62.96,88,100,1.14,moderate rain
148,Ilulissat,GL,69.2167,-51.1,21.22,79,17,8.05,few clouds
149,Port Lincoln,AU,-34.7333,135.8667,61.3,60,73,13.35,broken clouds
150,Jonesboro,US,35.8423,-90.7043,71.42,77,0,0.0,clear sky
151,Talnakh,RU,69.4865,88.3972,43.21,95,99,9.55,overcast clouds
152,Norman Wells,CA,65.282,-126.8329,60.84,36,75,3.44,broken clouds
153,Ponta Do Sol,PT,32.6667,-17.1,68.0,84,36,5.28,scattered clouds
154,Cabo San Lucas,MX,22.8909,-109.9124,78.1,76,80,8.01,broken clouds
155,Coruripe,BR,-10.1256,-36.1756,75.97,91,98,5.59,overcast clouds
156,Kargasok,RU,59.0556,80.8572,66.25,58,98,18.3,light rain
157,Sultanpur,IN,26.2667,82.0667,106.74,18,2,4.18,clear sky
158,Rosarito,MX,32.3333,-117.0333,61.75,83,14,5.28,few clouds
159,Viedma,AR,-40.8135,-62.9967,43.72,82,5,4.92,clear sky
160,Arkhangelsk,RU,64.5401,40.5433,37.11,69,100,8.95,overcast clouds
161,Chimbote,PE,-9.0853,-78.5783,62.42,91,95,4.47,overcast clouds
162,Saint-Pierre,RE,-21.3393,55.4781,75.9,78,75,9.22,light rain
163,Mangochi,MW,-14.4782,35.2645,65.88,82,88,6.89,overcast clouds
164,Nizhniy Kuranakh,RU,58.8353,125.4869,42.31,69,100,4.7,overcast clouds
165,Tamworth,GB,52.634,-1.6959,53.85,90,32,3.0,scattered clouds
166,Shelburne,CA,44.0787,-80.2041,48.96,84,11,14.54,few clouds
167,Fare,PF,-16.7,-151.0167,81.68,69,77,13.47,broken clouds
168,Nattam,IN,10.2333,78.2333,88.25,58,100,5.46,overcast clouds
169,Taltal,CL,-25.4,-70.4833,58.93,77,60,3.85,broken clouds
170,Longyearbyen,SJ,78.2186,15.6401,30.04,69,75,10.36,broken clouds
171,Huambo,AO,-12.7761,15.7392,50.67,70,8,1.28,clear sky
172,Dedza,MW,-14.3779,34.3332,52.12,87,45,2.91,scattered clouds
173,Misratah,LY,32.3754,15.0925,67.95,77,0,13.44,clear sky
174,Bucerias,MX,20.75,-105.3333,78.78,78,0,0.0,clear sky
175,Port Alfred,ZA,-33.5906,26.891,66.18,63,0,5.01,clear sky
176,Wisconsin Rapids,US,44.3836,-89.8174,54.39,75,0,4.61,clear sky
177,Tuktoyaktuk,CA,69.4541,-133.0374,32.0,86,40,13.8,scattered clouds
178,Saint-Denis,FR,48.9167,2.3333,64.15,80,0,5.75,clear sky
179,Esperance,AU,-33.8667,121.9,70.34,47,0,7.09,clear sky
180,Sao Joao Da Barra,BR,-21.6403,-41.0511,68.22,94,63,4.92,light rain
181,Abeche,TD,13.8292,20.8324,86.2,22,100,10.92,overcast clouds
182,Nome,US,64.5011,-165.4064,41.16,69,0,4.61,clear sky
183,Provideniya,RU,64.3833,-173.3,32.11,80,0,6.71,clear sky
184,Dalvik,IS,65.9702,-18.5286,39.13,72,42,5.53,scattered clouds
185,Shingu,JP,33.7333,135.9833,61.61,88,100,2.57,heavy intensity rain
186,Hvolsvollur,IS,63.7533,-20.2243,47.52,58,88,8.7,overcast clouds
187,Mangrol,IN,21.1167,70.1167,87.51,58,2,13.71,clear sky
188,Nago,JP,26.5881,127.9761,68.85,91,100,13.73,light rain
189,Honiara,SB,-9.4333,159.95,82.51,80,70,2.06,broken clouds
190,Te Anau,NZ,-45.4167,167.7167,50.07,84,84,4.81,light rain
191,Solginskiy,RU,61.05,41.3428,43.52,66,35,12.12,scattered clouds
192,Saldanha,ZA,-33.0117,17.9442,53.65,72,61,5.28,broken clouds
193,Vestmannaeyjar,IS,63.4427,-20.2734,47.86,74,98,15.14,overcast clouds
194,Ostroda,PL,53.6967,19.9649,44.17,60,86,7.72,overcast clouds
195,Flinders,AU,-34.5833,150.8552,70.05,46,0,10.92,clear sky
196,San Policarpo,PH,12.1791,125.5072,84.02,75,100,11.41,overcast clouds
197,Zyryanka,RU,65.75,150.85,54.97,43,23,14.63,few clouds
198,Labuan,MY,5.2767,115.2417,89.96,70,20,3.44,few clouds
199,Saint-Felicien,CA,48.6501,-72.4491,57.7,94,100,10.36,overcast clouds
200,Londoko,RU,49.0333,131.9833,58.73,45,100,5.84,overcast clouds
201,Boyle,US,37.6334,-84.8666,62.55,87,0,0.0,clear sky
202,Lorengau,PG,-2.0226,147.2712,85.15,67,55,8.55,broken clouds
203,Ostrovnoy,RU,68.0531,39.5131,37.06,81,100,21.59,overcast clouds
204,Chebsara,RU,59.2002,38.8356,43.93,81,99,10.45,overcast clouds
205,Ciudad Bolivar,VE,8.1222,-63.5497,78.08,83,100,9.84,overcast clouds
206,Sur,OM,22.5667,59.5289,94.3,26,0,1.16,clear sky
207,Murgab,TM,37.4966,61.9714,78.67,34,0,2.3,clear sky
208,Dunedin,NZ,-45.8742,170.5036,55.8,79,100,4.0,overcast clouds
209,Leiyang,CN,26.4024,112.8591,74.08,60,100,3.04,overcast clouds
210,Clyde River,CA,70.4692,-68.5914,23.23,93,100,11.5,overcast clouds
